id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
22566124,Schöne Dachwohnung in der Stadt Zürich,165835749,Larissa,Kreis 3,Sihlfeld,47.37303,8.51942,Private room,68,365,11,2018-04-02,0.21,1,89,0,
22603157,Luxury Downtown Penthouse Duplex Apartment,1788253,Thierry,Kreis 4,Langstrasse,47.37455,8.52999,Entire home/apt,950,1,26,2022-06-14,0.51,4,232,6,
22608555,Easy Studio Apartment,58818657,Book A Home AG,Kreis 11,Affoltern,47.41887,8.50807,Entire home/apt,90,14,0,,,2,329,0,
22651404,Exclusive Flat Close To Bahnhofsstrasse & Lake,2316695,Gabriela,Kreis 2,Enge,47.36662,8.53698,Entire home/apt,263,3,7,2022-04-24,0.14,1,31,3,
22673515,"Ploenchit station, Wifi",4773478,Ellen,Kreis 12,Saatlen,47.41021,8.56322,Private room,300,1,1,2018-01-18,0.02,1,365,0,
22694368,White Riviera House,1509492,Villa,Kreis 2,Wollishofen,47.33633,8.53903,Entire home/apt,1504,7,0,,,1,362,0,
22756581,"Elegant, bright 3-bedroom, 3-bath Apt. - Hottingen",2616961,Stefan,Kreis 7,Hottingen,47.36904,8.5578,Entire home/apt,400,12,1,2018-09-14,0.02,3,189,0,
22778929,Steps away from,121653596,Cassandra,Kreis 2,Wollishofen,47.33748,8.53851,Private room,198,1,0,,,1,0,0,
22821369,New: Boutique Studio with views to lake and alps !,13570663,Chris,Kreis 8,Mühlebach,47.34904,8.56313,Entire home/apt,95,4,76,2022-05-12,1.41,37,330,9,
22951344,RELOC Modern studio in Zurich Oerlikon,46465899,"RELOC Serviced Apartments, Zurich",Kreis 11,Seebach,47.41584,8.54538,Entire home/apt,130,7,1,2021-12-13,0.15,18,158,1,
22963254,"Great 2 rooms, 2 beds Studio in Zurich center #507",170040283,CityNest,Kreis 4,Werd,47.37228,8.5243,Entire home/apt,118,1,392,2022-06-01,7.37,14,4,89,
23035346,New ! Luxury studio with spectacular views !,13570663,Chris,Kreis 1,Rathaus,47.37384,8.54256,Entire home/apt,130,4,96,2022-06-22,1.80,37,310,4,
23047265,Stadt Zürich 206 -Studio nähe Albisriederplatz(6),19610180,Rossana,Kreis 4,Hard,47.38028,8.50769,Entire home/apt,85,1,63,2022-06-08,1.18,15,343,18,
23098845,"Ruhige, charmante Wohnung nähe Stadtzentrum",19512077,Marco,Kreis 3,Alt-Wiedikon,47.36783,8.5073,Entire home/apt,71,4,12,2022-06-07,0.23,1,13,7,
23100008,Your wonderful home in Zurich city Centre,14217183,Emanuela,Kreis 4,Werd,47.37109,8.52559,Private room,140,4,0,,,1,89,0,
23218385,Deluxe Studio with POCKET WIFI !!,172671195,Maria,Kreis 10,Wipkingen,47.39454,8.52148,Entire home/apt,109,999,196,2022-06-09,3.71,7,275,25,
23322898,Le Bijou Lintheschergasse / Zurich HB 1st floor,475053,James,Kreis 1,City,47.37682,8.53883,Entire home/apt,596,1,37,2022-06-19,0.93,18,313,13,
23323768,Le Bijou Lintheschergasse / Zurich HB 3rd floor,475053,James,Kreis 1,City,47.37798,8.5379,Entire home/apt,689,1,17,2022-02-12,0.40,18,326,3,
23324274,Le Bijou Lintheschergasse / Zurich HB 2nd floor,475053,James,Kreis 1,City,47.37773,8.53801,Entire home/apt,596,1,24,2022-06-03,0.58,18,338,13,
23325594,Le Bijou Lintheschergasse / Zurich HB 4th floor,475053,James,Kreis 1,City,47.37774,8.53983,Entire home/apt,596,1,42,2022-06-15,0.99,18,336,11,
23422713,Room Manesse 3,174690521,Michael,Kreis 3,Alt-Wiedikon,47.36522,8.52109,Private room,51,1,144,2022-06-23,2.74,3,315,39,
23424207,Room Manesse 1,174690521,Michael,Kreis 3,Alt-Wiedikon,47.36731,8.52094,Private room,62,1,64,2022-06-22,1.22,3,165,32,
23428642,Great Studio in Zurich center #303,170040283,CityNest,Kreis 3,Sihlfeld,47.37223,8.5224,Entire home/apt,81,1,229,2022-06-21,4.35,14,22,52,
23444796,Duplex Apartment Junior,16703823,Vision AG Neustadtstrasse,Kreis 3,Alt-Wiedikon,47.36226,8.52215,Entire home/apt,202,5,10,2021-07-20,0.21,70,37,1,
23445727,Big Attic Apartment Zurich City,34541936,Strahinja,Kreis 4,Hard,47.37843,8.5141,Entire home/apt,250,1,294,2022-01-05,5.62,4,0,8,
23477793,Stylish apartment in trendy Kreis 5,22424188,Natalia,Kreis 5,Gewerbeschule,47.38577,8.52832,Entire home/apt,170,4,6,2021-08-28,0.12,1,0,1,
23478480,Private room in spacious and central apartment,8164076,Noel,Kreis 6,Oberstrass,47.39099,8.54607,Private room,77,5,14,2022-05-22,0.27,2,0,4,
23515948,Cozy Room in an Apartment  with Balcony!,172332751,Cherly,Kreis 3,Alt-Wiedikon,47.36469,8.51873,Private room,100,7,19,2022-05-24,0.37,1,333,4,
23532672,THE FLAG Zürich - Business Apartment in Altstetten,175646878,THE FLAG Zürich,Kreis 9,Altstetten,47.38737,8.49405,Hotel room,210,1,77,2022-06-08,1.76,4,337,50,
23621941,Hotel Opera Zürich,180734864,Monika,Kreis 8,Mühlebach,47.36548,8.54847,Private room,700,60,6,2019-06-09,0.12,1,357,0,
23738232,Wohnung im Kreis 4,8635618,Ana Marija,Kreis 4,Werd,47.3695,8.52834,Entire home/apt,127,1,7,2022-05-22,0.14,1,35,4,
23788323,35m2 private room in a big loft / zurich center,79837655,Klaudija,Kreis 4,Hard,47.38367,8.51024,Private room,55,90,18,2019-07-21,0.35,2,120,0,
23868386,### LUXURY City-Apartment ###,71504709,Jens,Kreis 7,Hottingen,47.36794,8.55915,Entire home/apt,199,2,142,2021-01-01,2.74,1,0,0,
