id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53770609,Gemütliche zentral gelegene 2-Zi-Wohnung/ 2 Rooms,23521921,Bari,Kreis 4,Langstrasse,47.379539,8.525209,Entire home/apt,123,3,0,,,1,0,0,
53804074,Fully equipped apartment with view near Irchelpark,16830213,Ramon,Kreis 6,Oberstrass,47.39464,8.5472,Entire home/apt,188,5,0,,,1,304,0,
53819940,Flat in the heart of zürich,435957023,Gabriela,Kreis 6,Unterstrass,47.389617919921875,8.544363021850586,Entire home/apt,130,1,22,2022-11-14,4.31,1,7,22,
53820070,Appartamento incantevole a Zurigo,31837183,Camilla,Kreis 2,Wollishofen,47.34536,8.53337,Entire home/apt,180,5,0,,,1,362,0,
53836241,Cozy 2 bedroom apartment in central location.,364728171,Andrea,Kreis 3,Sihlfeld,47.3726,8.51896,Entire home/apt,150,10,0,,,1,347,0,
53839287,ID444: Renovated Stylish Downtown 2-BR Loft,15038541,Cher.,Kreis 4,Werd,47.37422,8.52249,Entire home/apt,184,1,61,2022-12-27,8.03,8,0,61,
53843897,Cozy & charming 3 Room Flat in Zurich City Center,420370006,Kamila,Kreis 4,Werd,47.36976,8.52965,Entire home/apt,157,1,0,,,19,57,0,
53863391,Luxuriöse grossräumige Wohnung im Trendquartier,48483819,Darya,Kreis 5,Escher Wyss,47.38804,8.51398,Entire home/apt,174,3,2,2022-05-08,0.17,1,0,2,
53873626,Cosy apartment in Wiedikon,436378909,Mathias,Kreis 3,Alt-Wiedikon,47.3686,8.50832,Entire home/apt,93,14,0,,,1,0,0,
53875757,Ein Zuhause in der Stadt,3026473,Leandra,Kreis 11,Oerlikon,47.40738,8.55164,Entire home/apt,95,4,13,2022-10-29,1.30,2,241,13,
53877309,Lovely 2 bedroom apartment on the lake in zürich,87400850,Ravina,Kreis 8,Mühlebach,47.35461,8.55743,Entire home/apt,165,3,1,2022-01-01,0.08,1,0,1,
53879023,Lovely 3 bedroom in Zurich - Wollishofen,8710182,Manuela,Kreis 2,Wollishofen,47.33692,8.53134,Entire home/apt,109,6,0,,,1,68,0,
53879706,Lovely 1 Bedroom + Guest Parking & Ground Terrace,36109174,Mila,Kreis 9,Altstetten,47.39066,8.47777,Entire home/apt,148,1,23,2022-12-26,2.09,1,206,23,
53966197,"Oerlikon 2.5 Room w/ Storage, near Train Station",434204093,Blueground,Kreis 11,Oerlikon,47.41082379999999,8.547816699999998,Entire home/apt,148,30,1,2022-05-23,0.14,60,203,1,
53971360,"Mühlebach 3.5 Room w/ W&D, Parking, nr Seefeld",434204093,Blueground,Kreis 8,Mühlebach,47.3645607,8.5527619,Entire home/apt,315,30,0,,,60,136,0,
53975416,"Oerlikon 3.5 Room w/ Storage, near Train Station",434204093,Blueground,Kreis 11,Oerlikon,47.41082379999999,8.547816699999998,Entire home/apt,174,30,1,2022-09-25,0.31,60,210,1,
